Index,SMILES
1,CN(Cc1ccccc1[N+](=O)[O-])Cc1cc(=O)oc2cc(O)ccc12
2,O=C(C=Cc1cc(Br)ccc1OC(F)F)Nc1ccc2c(c1)OCO2
3,CCc1ccc2nc(-c3ccc(OC(C)C)cc3)cc(C(=O)O)c2c1
4,Clc1ccccc1-c1cc(-c2nnc3n2CCC3)c2ccccc2n1
5,O=c1c2ccc(-c3cc4ccccc4o3)nc2[nH]n1-c1ccccc1
6,Cc1noc2nc(-c3ccccc3)cc(C(=O)N[C@H](CO)C(C)C)c12
7,COCCCn1c(=N)c(C(N)=O)cc2c(=O)n3cccc(C)c3nc21
8,CCc1ccc2ncc(C#N)c(Nc3cc(OC)ccc3OC)c2c1
9,CC(C)CNC(=O)COC(=O)c1c2ccccc2cc2ccccc12
10,CCCOc1ccc(-c2nc3ccc(Br)cc3c(C(=O)O)c2C)cc1
11,CCOc1ccc(NC(=O)c2cc3cc(OC)ccc3oc2=O)cc1
12,COC(=O)c1cc(NCc2cn3cccc(C(=O)OC)c3n2)c(C)s1
13,CCOc1ccc(NC(=O)c2cc3cccc(OC)c3oc2=N)cc1
14,CCOC(=O)c1c(NC(=O)c2cc(Br)ccc2OC)sc2c1CCC2
15,CCCNC(=O)c1ccc2nc(-c3ccc(C)cc3)cc(OC)c2c1
16,COc1ncc(NC(=O)c2nc(-c3ccccc3)cs2)cc1C(N)=O
17,COC(C)c1nc(C)c(C(=O)Nc2nc(-c3ccc(C)s3)c(C)s2)s1
18,CCOC(=O)c1oc2ccc(/C=N/Cc3ccccc3)c(Cl)c2c1C
19,COc1cc(Nc2c(C#N)cnc3cc(OC)ccc23)cc(OC)c1
20,CC(C)Nc1cc(-c2ccc(Cn3cccn3)c(F)c2)ccc1C#N
21,Nc1c(C(=O)N[C@H](Cc2ccccc2)C(=O)O)ccc2cccnc12
22,Cc1cc(=O)c(C(=O)NCCC2CCCCC2)nn1-c1ccccc1
23,C=CCOc1ccccc1/C=C1\C(=O)N(c2cccc(Cl)c2)N=C1C
24,CCC(C(=O)Nc1sc2c(c1C(N)=O)CCC(C)C2)c1ccccc1
25,COC(=O)CCC(=O)Nc1ccc(-c2nc3ccc(C)cc3s2)cc1
26,COC(=O)c1c[nH]c(C(=O)OC)c1NC(=O)CC(C)CCC=C(C)C
27,Cc1ccc(-c2nnc3sc(-c4ccc5nc(Cl)sc5c4)nn23)cc1
28,COCc1nnc(NC(=O)C[C@H]2NC(=O)c3ccccc3N=C2O)s1
29,C#CCOc1ccc2ccccc2c1/C=N/NC(=O)c1ccc(C)o1
30,CCOCc1ccc(-c2nc3cc(C(=O)OC)ccc3c(=O)[nH]2)cc1
31,CC(C)N1CCc2c(sc3ncn4nc(-c5ccncc5)nc4c23)C1
32,O=C(/C=C/c1ccccc1Cl)c1cccc(NC(=O)c2ccco2)c1
33,CCOC(=O)c1ccc(N/C=C(/C#N)c2nc3ccccc3s2)cc1
